1.64E+01	1.69E+01
1.64E+01	1.69E+01
1.64E+01	1.69E+01
1.64E+01	1.69E+01
1.64E+01	1.69E+01
1.64E+01	1.69E+01
1.64E+01	1.69E+01
1.64E+01	1.69E+01
1.64E+01	1.69E+01
1.64E+01	1.70E+01
1.64E+01	1.70E+01
1.64E+01	1.70E+01
1.63E+01	1.70E+01
1.63E+01	1.70E+01
1.63E+01	1.70E+01
1.63E+01	1.70E+01
1.63E+01	1.70E+01
1.63E+01	1.71E+01
1.62E+01	1.71E+01
1.62E+01	1.71E+01
1.62E+01	1.71E+01
1.62E+01	1.72E+01
1.61E+01	1.72E+01
1.61E+01	1.73E+01
1.60E+01	1.73E+01
1.60E+01	1.74E+01
1.59E+01	1.74E+01
1.58E+01	1.75E+01
1.57E+01	1.76E+01
1.56E+01	1.77E+01
1.55E+01	1.79E+01
1.53E+01	1.80E+01
1.51E+01	1.82E+01
1.49E+01	1.84E+01
1.46E+01	1.87E+01
1.42E+01	1.91E+01
1.38E+01	1.96E+01
1.32E+01	2.01E+01
1.25E+01	2.08E+01
1.17E+01	2.17E+01
1.07E+01	2.26E+01
9.68E+00	2.37E+01
8.79E+00	2.45E+01
8.28E+00	2.50E+01
8.32E+00	2.50E+01
8.89E+00	2.44E+01
9.79E+00	2.35E+01
1.08E+01	2.25E+01
1.17E+01	2.16E+01
1.26E+01	2.08E+01
1.32E+01	2.01E+01
1.38E+01	1.96E+01
1.42E+01	1.91E+01
1.46E+01	1.88E+01
1.49E+01	1.85E+01
1.51E+01	1.82E+01
1.53E+01	1.81E+01
1.54E+01	1.79E+01
1.56E+01	1.78E+01
1.57E+01	1.77E+01
1.58E+01	1.76E+01
1.58E+01	1.75E+01
1.59E+01	1.74E+01
1.60E+01	1.74E+01
1.60E+01	1.73E+01
1.61E+01	1.73E+01
1.61E+01	1.72E+01
1.61E+01	1.72E+01
1.62E+01	1.72E+01
1.62E+01	1.71E+01
1.62E+01	1.71E+01
1.63E+01	1.71E+01
1.63E+01	1.71E+01
1.63E+01	1.70E+01
1.63E+01	1.70E+01
1.63E+01	1.70E+01
1.63E+01	1.70E+01
1.63E+01	1.70E+01
1.63E+01	1.70E+01
1.63E+01	1.70E+01
1.64E+01	1.70E+01
1.64E+01	1.70E+01
1.64E+01	1.70E+01
1.64E+01	1.70E+01
1.64E+01	1.70E+01
1.64E+01	1.69E+01
1.64E+01	1.69E+01
1.64E+01	1.69E+01
1.64E+01	1.69E+01
1.64E+01	1.69E+01
1.64E+01	1.69E+01
