x,y,z
-0.331433701,5.22076152,0.22171
-0.843843701,5.08256152,0.97867
-1.654253701,5.04356152,0.96791
-1.221983701,5.20276152,0.54585
-1.933273701,5.22056152,0.54852
0.635766299,5.19536152,0.25358
-0.227883701,5.21336152,0.23204
-1.321483701,5.16616152,0.20428
-1.538343701,5.03456152,0.97618
-1.106723701,5.19836152,0.55684
-1.945873701,5.07926152,0.53316
0.707146299,5.15676152,0.25564
-0.125853701,5.20546152,0.24204
-1.179083701,5.18976152,0.22281
-1.411813701,5.07076152,0.98892
-0.998503701,5.21986152,0.56984
-1.699573701,5.23116152,0.57281
-0.025063701,5.22976152,0.25604
-1.073413701,5.20766152,0.23655
-1.280453701,5.08126152,0.99987
-0.891903701,5.20856152,0.57909
-1.580103701,5.22506152,0.58397
-2.450773701,5.12166152,0.57063
0.910406299,5.19826152,0.28242
0.075116299,5.22186152,0.26571
-0.953423701,5.21036152,0.24997
-1.247553701,4.98596152,0.99451
-0.760563701,5.22636152,0.59383
-1.381323701,5.30296152,0.61133
-2.272173701,5.16466152,0.59209
0.987316299,5.16956152,0.2862
0.166436299,5.20416152,0.27304
-0.833843701,5.21406152,0.26339
-1.880573701,5.21966152,0.27903
0.308956299,5.13416152,0.99572
-2.461173701,4.35566152,0.95489
-0.663753701,5.20666152,0.60105
-1.339433701,5.21926152,0.60687
-2.146773701,5.15806152,0.60362
1.077896299,5.16076152,0.29409
0.277226299,5.21186152,0.28571
-0.719913701,5.21296152,0.27554
-1.764773701,5.20776152,0.29021
-1.760173701,4.94206152,1.05089
-0.550203701,5.20726152,0.61204
-1.207443701,5.23096152,0.62083
-2.024573701,5.14976152,0.61462
1.150326299,5.12676152,0.2965
0.373026299,5.20196152,0.29437
-0.614113701,5.20396152,0.28576
-1.670073701,5.17566152,0.29685
-0.835193701,5.05066152,1.03094
-1.620123701,4.95666152,1.06224
-0.433163701,5.21346152,0.62389
-1.098863701,5.21926152,0.63004
-1.863473701,5.18206152,0.63312
1.248506299,5.13066152,0.3068
0.479466299,5.20696152,0.30604
-0.498253701,5.20786152,0.29854
-1.543723701,5.17706152,0.31043
-1.481973701,5.00396152,1.07589
-0.346623701,5.21756152,0.63256
-0.989113701,5.24206152,0.64288
-1.731773701,5.21896152,0.64922
1.377786299,5.21646152,0.33186
0.562346299,5.21556152,0.3157
-0.409063701,5.21446152,0.30877
-1.406513701,5.22356152,0.33006
-1.351273701,5.01236152,1.08597
-0.237953701,5.21646152,0.64267
-0.871833701,5.24246152,0.65405
-1.616473701,5.20866152,0.65914
1.450746299,5.18616152,0.33461
0.660976299,5.21276152,0.32537
-0.288843701,5.22626152,0.32283
0.141586299,5.00206152,1.04504
-1.210293701,5.03376152,1.09774
-0.133383701,5.21176152,0.65192
-0.768123701,5.22916152,0.66242
-1.502793701,5.19786152,0.66879
-2.341873701,5.10276152,0.68442
1.504286299,5.12676152,0.33118
0.747566299,5.19486152,0.3317
-0.193113701,5.21036152,0.33081
-1.165733701,5.22206152,0.35512
-1.152923701,4.96526152,1.09648
-0.037863701,5.19716152,0.65914
-0.654123701,5.22866152,0.67303
-1.392083701,5.18536152,0.67791
-2.171873701,5.13846152,0.70324
1.602376299,5.13536152,0.34182
0.866756299,5.22226152,0.34737
-0.076213701,5.22116152,0.34424
-1.053283701,5.21496152,0.36599
0.071166299,5.20036152,0.66955
-0.537873701,5.23216152,0.6842
-1.262663701,5.19396152,0.69078
-2.019673701,5.15926152,0.71901
1.664946299,5.09006152,0.34113
0.937866299,5.18516152,0.34937
0.024036299,5.21306152,0.3535
-0.934463701,5.21626152,0.37837
-0.870473701,5.01676152,1.12042
0.171206299,5.19366152,0.67793
-0.437543701,5.21876152,0.69202
-1.144493701,5.19226152,0.70151
-1.852673701,5.19696152,0.73758
1.716226299,5.02676152,0.33667
1.035526299,5.18556152,0.35904
0.130236299,5.21356152,0.36437
-0.808093701,5.22746152,0.39256
0.250046299,5.19426152,0.68515
-0.341843701,5.23336152,0.70235
-1.036033701,5.21356152,0.71358
-1.772373701,5.18156152,0.74343
1.723386299,4.92906152,0.32294
1.102016299,5.17706152,0.36437
0.216406299,5.22306152,0.37427
-0.716613701,5.23326152,0.40252
0.352056299,5.19216152,0.69411
-0.230493701,5.23516152,0.71268
-1.414963701,4.96616152,1.14823
-0.935903701,5.19466152,0.72082
-1.642703701,5.18506152,0.75539
1.743796299,4.81406152,0.30783
1.220656299,5.20956152,0.38037
0.328036299,5.23296152,0.38673
-0.596343701,5.24056152,0.41551
0.109276299,5.05546152,1.09956
0.440516299,5.17376152,0.69989
-0.135983701,5.21816152,0.71938
-1.291283701,4.96826152,1.15684
-0.816123701,5.19886152,0.73209
-1.512143701,5.19126152,0.7676
1.790006299,4.73926152,0.30096
1.313996299,5.20736152,0.38904
0.428356299,5.22986152,0.39632
